email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
3B0F5E110BDF2F19	pullup20	20	10	2	"0,0,10,25,30,25,10,0,0,0"	64	113.496	1	10
E1FBB1E729063FCD	pullup20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	83	92.166	1	10
33024688749CB540	pullup20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	100	43.491	3	10
82111E0F52A33D4D	pullup20	20	10	2	"0,0,5,10,20,30,20,10,5,0"	67	32.419	5	10
F7C3960957180867	pullup20	20	10	2	"0,0,0,10,20,40,20,10,0,0"	37	231.743	1	10
5BEBD1D6F47C64A8	pullup20	20	10	2	"5,10,0,0,20,30,20,0,10,5"	3	48.478	3	10
0ED6C8DFFBA16774	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	73	29.277	3	10
6230CDEA914F7DD3	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	40	39.477	3	10
DD1E3A11AE37BA7D	pullup20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	67	39.256	5	10
0D0419BB9C5ACD71	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	36	113.05	3	10
439126BBC01063A9	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	13	75.483	3	10
84E1DC7872148B47	pullup20	20	10	2	"5,5,5,15,20,20,15,5,5,5"	65	110.151	1	10
D7E1D296F63F84E8	pullup20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	15	54.069	5	10
B20449427763C0D4	pullup20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	68	47.235	5	10
8B277BBD0FFE5974	pullup20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	88	20.372	3	10
E1FBB1E729063FCD	roll100	100	20	1	"2,3,3,3,3,4,5,5,8,15,14,8,5,5,5,4,2,2,2,2"	77	58.854	4	20
5B89D5876223D5D6	roll100	100	20	1	"1,2,2,2,3,4,6,7,10,14,12,10,7,6,4,3,2,2,2,1"	70	125.663	4	20
87F02522502BC4F9	roll100	100	20	1	"0,1,2,2,3,5,6,8,9,12,11,10,10,8,7,3,2,1,0,0"	6	84.348	6	20
33024688749CB540	roll100	100	20	1	"1,1,1,2,3,4,5,6,7,10,25,10,7,6,4,3,2,1,1,1"	21	180.498	6	20
482A3DF70AED5BB9	roll100	100	20	1	"1,1,1,1,2,4,6,8,10,16,16,10,8,6,4,2,1,1,1,1"	62	306.172	4	20
47A7455E4A5FD13A	roll100	100	20	1	"1,1,2,3,4,5,6,9,10,12,10,9,7,5,5,4,3,2,1,1"	6	140.055	2	20
A90A19B864E757DD	roll100	100	20	1	"0,2,3,4,5,6,7,8,9,11,9,8,7,6,5,4,3,2,1,0"	65	130.686	2	20
F0EFC9A48942C343	roll100	100	20	1	"1,1,3,4,5,4,5,6,6,10,10,7,8,5,5,5,4,5,3,3"	50	84.026	6	20
84E1DC7872148B47	roll100	100	20	1	"0,1,1,2,3,5,7,9,10,12,11,10,9,7,5,3,2,1,1,1"	0	198.247	6	20
439126BBC01063A9	roll100	100	20	1	"1,1,1,1,2,4,6,8,10,14,18,10,8,6,4,2,1,1,1,1"	0	202.342	2	20
5A479192EFB57641	roll100	100	20	1	"1,1,2,2,3,4,6,9,13,19,12,9,6,4,3,2,2,1,1,0"	65	175.264	4	20
0D0419BB9C5ACD71	roll100	100	20	1	"3,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5"	0	10.561	6	20
C5FA7EB0504E7986	roll100	100	20	1	"0,3,4,4,4,5,5,6,5,7,7,9,6,5,5,5,5,5,5,5"	0	17.507	4	20
8B277BBD0FFE5974	roll100	100	20	1	"1,3,5,5,5,5,5,7,6,7,5,6,5,5,5,5,5,5,5,5"	0	27.26	2	20
F7C3960957180867	roll100	100	20	1	"5,5,5,4,1,2,3,6,11,14,12,6,3,2,1,2,4,5,5,4"	0	165.971	6	20
82111E0F52A33D4D	roll100	100	20	1	"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"	38	4.806	4	20
E5EABE50B37DFAE8	roll100	100	20	1	"1,2,3,4,4,5,6,7,8,10,10,8,7,6,5,4,4,3,2,1"	34	158.667	2	20
E1FBB1E729063FCD	roll20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	60	56.562	3	10
87F02522502BC4F9	roll20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	9	52.645	5	10
33024688749CB540	roll20	20	10	2	"0,0,5,15,35,25,15,5,0,0"	20	89.684	5	10
482A3DF70AED5BB9	roll20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	62	56.637	3	10
5B89D5876223D5D6	roll20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	49	27.021	3	10
A90A19B864E757DD	roll20	20	10	2	"5,5,10,15,25,15,10,5,5,5"	6	89.67	1	10
47A7455E4A5FD13A	roll20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	79	50.564	1	10
F0EFC9A48942C343	roll20	20	10	2	"0,5,5,10,20,25,15,15,5,0"	50	87.869	5	10
439126BBC01063A9	roll20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	0	205.468	1	10
5A479192EFB57641	roll20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	28	40.975	3	10
0D0419BB9C5ACD71	roll20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	24	41.185	5	10
84E1DC7872148B47	roll20	20	10	2	"5,5,10,10,20,20,10,10,5,5"	29	52.285	5	10
8B277BBD0FFE5974	roll20	20	10	2	"0,5,5,15,25,25,15,5,5,0"	71	48.254	1	10
C5FA7EB0504E7986	roll20	20	10	2	"5,10,15,5,5,10,10,10,15,15"	30	31.86	3	10
E5EABE50B37DFAE8	roll20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	7	88.555	1	10
82111E0F52A33D4D	roll20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	33	50.353	3	10
F7C3960957180867	roll20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	20	45.498	5	10
14370A173ECA82CA	drawcontfill	NA	10	2	"0,0,0,72,205,290,208,66,0,0"	100	49.708	2	10
E5EABE50B37DFAE8	drawcontfill	NA	10	2	"0,21,61,144,262,263,152,72,24,0"	75	69.087	4	10
47A7455E4A5FD13A	drawcontfill	NA	10	2	"0,0,23,100,251,251,96,26,0,0"	34	24.102	6	10
DD1E3A11AE37BA7D	drawcontfill	NA	10	2	"0,5,32,118,265,267,121,21,0,0"	39	47.541	4	10
FE1405E199C647FB	drawcontfill	NA	10	2	"0,0,30,112,296,296,112,33,0,0"	90	61.2	6	10
439126BBC01063A9	drawcontfill	NA	10	2	"0,0,23,131,247,249,135,32,0,0"	38	79.345	6	10
5A479192EFB57641	drawcontfill	NA	10	2	"0,20,87,338,425,425,338,90,16,0"	68	158.329	2	10
84E1DC7872148B47	drawcontfill	NA	10	2	"1,19,69,223,348,349,221,70,14,0"	80	46.505	4	10
3B0F5E110BDF2F19	drawcontfill	NA	10	2	"0,0,0,57,285,353,285,66,0,0"	89	23.33	4	10
B20449427763C0D4	drawcontfill	NA	10	2	"0,7,35,105,214,216,107,42,14,0"	80	42.598	2	10
8B277BBD0FFE5974	drawcontfill	NA	10	2	"5,10,31,151,220,276,222,157,37,0"	37	54.728	6	10
87F02522502BC4F9	drawcontfill	NA	10	2	"0,0,0,0,338,341,0,0,0,0"	63	15.853	4	10
2DF430233663C62F	drawcontfill	NA	10	2	"0,0,19,91,389,390,91,25,0,0"	86	51.016	2	10
5B89D5876223D5D6	drawcontfill	NA	10	2	"0,8,38,108,234,237,106,43,7,0"	27	106.873	2	10
DD1E3A11AE37BA7D	drawcontline	NA	10	2	"16,19,34,121,279,281,126,34,28,14"	60	58.294	3	10
14370A173ECA82CA	drawcontline	NA	10	2	"41,41,41,153,346,347,158,37,32,31"	69	87.813	1	10
E5EABE50B37DFAE8	drawcontline	NA	10	2	"19,31,71,179,291,182,71,44,29,13"	31	199.858	3	10
47A7455E4A5FD13A	drawcontline	NA	10	2	"25,37,96,175,240,239,128,57,26,11"	93	19.656	5	10
8B277BBD0FFE5974	drawcontline	NA	10	2	"24,29,55,153,236,270,239,134,38,40"	86	20.043	5	10
87F02522502BC4F9	drawcontline	NA	10	2	"34,37,100,314,406,407,362,49,37,32"	61	15.588	3	10
2DF430233663C62F	drawcontline	NA	10	2	"12,15,38,136,391,390,129,34,16,12"	77	94.184	1	10
5B89D5876223D5D6	drawcontline	NA	10	2	"20,47,79,124,308,308,125,82,51,22"	92	85.008	1	10
439126BBC01063A9	drawcontline	NA	10	2	"9,12,31,86,250,251,84,35,13,9"	38	130.944	5	10
84E1DC7872148B47	drawcontline	NA	10	2	"18,32,113,273,376,377,270,106,34,18"	35	46.792	3	10
FE1405E199C647FB	drawcontline	NA	10	2	"12,14,42,164,304,303,177,40,13,13"	92	79.945	5	10
5A479192EFB57641	drawcontline	NA	10	2	"349,315,304,299,298,287,269,227,149,5"	66	32.89	1	10
3B0F5E110BDF2F19	drawcontline	NA	10	2	"0,0,81,266,399,399,256,79,0,0"	35	59.213	3	10
B20449427763C0D4	drawcontline	NA	10	2	"25,32,61,153,253,158,71,41,28,20"	3	89.518	1	10
CDC4B4AEDDEAC3C6	drawcontline	NA	10	2	"256,44,105,169,199,257,207,161,117,4"	3	8.369	5	10
