email	condition	nballs	nbins	binint	binprob	slider	time	order	nresponsebin
F7230D4DC2B77D35	pullup20	20	10	2	"0,0,5,10,35,35,10,5,0,0"	65	263.429	1	10
7BE8CFCFF4293572	pullup20	20	10	2	"5,5,5,5,20,25,20,5,5,5"	18	171.293	3	10
B7449DC448E7167B	pullup20	20	10	2	"5,5,10,15,20,15,10,10,5,5"	21	125.539	1	10
C7045B4FD30A1A05	pullup20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	58	43.638	3	10
37427A43350823D9	pullup20	20	10	2	"5,5,5,15,20,20,15,5,5,5"	69	37.843	3	10
AE4A0A750832690B	pullup20	20	10	2	"5,10,15,20,35,15,0,0,0,0"	13	33.591	3	10
0E4739B0026C339B	pullup20	20	10	2	"5,5,10,15,30,15,10,5,5,0"	50	154.175	3	10
7A17236D366EC51C	pullup20	20	10	2	"0,0,5,15,30,30,15,5,0,0"	79	31.532	NA	10
4D54F04A1858B7B1	pullup20	20	10	2	"5,5,5,10,15,25,15,10,5,5"	36	103.494	3	10
B254EDE86152606A	pullup20	20	10	2	"5,5,5,10,45,10,5,5,5,5"	63	56.657	3	10
73846C4EE9DF2DE0	pullup20	20	10	2	"5,0,0,10,20,30,20,10,0,5"	74	50.983	3	10
3B2BEA628FF2AB21	pullup20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	0	30.346	3	10
F50101555758A11A	pullup20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	18	122.372	3	10
C8F3BE8204B4B0B7	pullup20	20	10	2	"0,0,10,15,25,25,15,10,0,0"	14	106.141	1	10
196FA4E226F24211	pullup20	20	10	2	"5,10,15,25,45,45,30,10,10,5"	9	546.633	7	10
15D9341F62398EA7	pullup20	20	10	2	"0,5,10,15,20,20,15,10,5,0"	76	61.248	1	10
2CF0E123D3322FA0	pullup20	20	10	2	"0,0,5,10,35,35,10,5,0,0"	60	72.16	3	10
B384045A6F0A418A	pullup20	20	10	2	"0,0,5,10,35,35,10,5,0,0"	0	72.482	3	10
10FBB1B7E73255DE	pullup20	20	10	2	"5,5,5,10,25,25,10,5,5,5"	83	155.037	NA	10
0CD176CFF208A236	pullup20	20	10	2	"5,5,5,20,25,20,5,5,5,5"	15	72.428	5	10
25711D2DDED8D447	roll20	20	10	2	"15,15,30,35,25,20,15,15,10,10"	50	1.906	NA	10
C8121D5CAC7631E6	roll20	20	10	2	"5,5,15,20,15,10,10,5,5,0"	19	56.889	NA	10
0ECD4B30FBFD47EE	roll20	20	10	2	"0,5,10,15,35,15,10,5,5,0"	0	68.268	5	10
F85A1342C3256F30	roll20	20	10	2	"0,5,15,20,20,15,10,5,0,0"	65	133.087	3	10
F7230D4DC2B77D35	roll20	20	10	2	"0,5,35,5,5,35,5,5,5,0"	88	145.53	3	10
F4AF810FDD940945	roll20	20	10	2	"0,5,5,20,30,20,10,5,5,0"	12	75.507	5	10
612E34B7B2F1EC39	roll20	20	10	2	"5,5,10,25,25,10,5,5,5,5"	25	41.408	5	10
A0678961DE4ADFF9	roll20	20	10	2	"5,5,5,20,30,20,0,5,5,5"	19	48.587	3	10
416D6A1F48195C10	roll20	20	10	2	"0,0,15,25,35,15,5,5,0,0"	0	146.934	5	10
B7449DC448E7167B	roll20	20	10	2	"0,10,10,15,25,15,10,5,5,0"	14	78.31	3	10
CDF296B8CA338701	roll20	20	10	2	"5,5,10,15,30,15,5,5,5,5"	65	38.405	3	10
EDFAFA433755A74D	roll20	20	10	2	"0,0,20,25,30,20,5,0,0,0"	22	42.447	1	10
23F97CFE942A3928	roll20	20	10	2	"5,5,5,20,25,20,5,5,5,5"	32	306.526	3	10
DE09C51C36A53B80	roll20	20	10	2	"5,5,15,20,20,15,5,5,5,5"	14	37.117	5	10
74987EE3CB71C1E7	roll20	20	10	2	"5,5,5,15,25,15,10,10,5,5"	9	84.699	1	10
90B01147FF48D1EB	roll20	20	10	2	"5,5,10,20,20,10,10,10,5,5"	29	142.976	5	10
031BC9A6BC5E6898	roll20	20	10	2	"5,5,5,20,25,20,5,5,5,5"	67	35.439	3	10
71B8F88DA13E400E	roll20	20	10	2	"0,10,25,45,45,25,20,20,10,0"	4	213.038	5	10
F70D8199720BDEC8	roll20	20	10	2	"5,5,5,25,25,10,10,5,5,5"	20	21.947	5	10
EA184C48686D4C93	roll20	20	10	2	"0,0,10,35,35,5,10,5,0,0"	8	122.955	5	10
475AAB95ED4AC8C2	roll20	20	10	2	"5,5,0,20,25,15,5,10,5,5"	0	75.849	5	10
6E0BA03B51185F0F	roll20	20	10	2	"0,5,10,20,25,15,10,5,5,0"	31	93.794	3	10
59E42276E5414454	roll20	20	10	2	"0,5,15,30,15,10,10,5,0,0"	8	219.1	NA	10
7D55D8AB9D518C65	roll20	20	10	2	"5,5,15,20,15,15,10,5,5,5"	0	71.614	1	10
D530A3859DA21207	roll20	20	10	2	"5,5,10,15,25,15,10,0,5,5"	32	89.527	3	10
F14FF52C4FD969C5	roll20	20	10	2	"5,5,5,25,25,10,10,5,5,5"	36	22.326	5	10
F1968B16023D3008	roll20	20	10	2	"5,5,10,20,25,15,5,5,5,5"	43	48.993	NA	10
7A17236D366EC51C	roll20	20	10	2	"0,5,5,20,30,20,10,5,5,0"	64	73.899	NA	10
FCD63FE69094F473	roll20	20	10	2	"5,5,10,25,20,10,5,5,5,5"	20	27.336	3	10
15D9341F62398EA7	roll20	20	10	2	"0,5,15,20,20,15,10,10,5,0"	65	37.203	3	10
