workerId	condition	nballs	nbins	binint	binx	binprob	sumTo100	dist_vals	task
lyy2zgb23onhkami84bvb1emijw3fxvy1jxj1kme3hztrqw7b9	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_184.779516358429_223.399715504955_259.317211948782_324.964438122308_378.449502133684_427.88051209101_478.662873399687	"12,12,12,0,71,170,12,12,12,12"	NA	NA	recall
r1on4x3ad19zhznx31gz7u8frjq1px0avmjsw2ohnzr8z7iudi	rc_np	NA	10	2	29.7297297297_95.3769559032263_147.510668563253_184.779516358429_247.724039829255_301.209103840632_350.640113797958_400.071123755284_440.04267425316_500.284495021287	"2,24,35,102,324,316,103,30,25,27"	NA	NA	recall
wsspesqtskw48k8j241b57b9hn6lkodveqv03bfazpstw3ik9	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_226.102418207655_268.776671408232_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,175,12,12,12,12"	NA	NA	recall
3hgkhwq293yb2k9a28eoqg2e29v099cvnwsnuix88qfjm3lq5mi	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_200.426742532005_279.587482219032_350.640113797958_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,341,7,12,12,12"	NA	NA	recall
ztskyyjrty0z8tcxcc7db1emiv0umdrgq89i2uu94xtmbtvs4i	rc_np	NA	10	2	31.08108108105_92.6742532005263_150.213371265953_199.644381223279_250.426742531955_284.992887624432_337.126600284458_374.395448079634_437.33997155046_500.284495021287	"3,19,43,93,209,317,406,335,63,11"	NA	NA	recall
6olaccb12n3dbm7f1pg882rzfr8tfy18pm8dhi8zyz175xhto6r	rc_np	NA	10	2	17.56756756755_54.8364153627263_120.483641536253_196.941678520579_245.021337126555_278.236130867682_345.234708392558_400.071123755284_448.15078236126_478.662873399687	"12,5,17,65,131,176,100,45,2,12"	NA	NA	recall
3kfwzsu7bdbl35hyhhhijdobt9od07wzof2miedo00gyadobt9	rc_np	NA	10	2	28.37837837835_77.8093883356763_142.105263157853_191.536273115179_250.426742531955_299.857752489282_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,4,67,351,95,13,12,12,12"	NA	NA	recall
gm8oo0d34wlq680tfo85jnhfrraz225gdxbcj4q6zdl1munmi	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_201.778093883355_275.533428164982_350.640113797958_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,67,200,68,12,12,12"	NA	NA	recall
kkbsyty9my1ir4aovpshsemiwls975xoiu7w5freas3o3l3di	rc_np	NA	10	2	24.3243243243_56.1877667140763_150.213371265953_199.644381223279_234.210526315755_274.182076813632_339.829302987158_391.963015647184_442.74537695586_482.716927453737	"7,6,47,300,453,310,58,5,8,8"	NA	NA	recall
z78ssrlk3077y72ej9ovl5wmi5ufcf66abgpa6ediu10oyfogvi	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_200.426742532005_270.128022759582_301.991465149358_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,490,12,12,12,12"	NA	NA	recall
uf930zn9zfveh876ih2qk6gvijdmhhxxh22dvqctya8yjbgldi	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_183.428165007079_200.426742532005_267.425320056882_350.640113797958_378.449502133684_427.88051209101_478.662873399687	"12,12,12,11,12,214,7,12,12,12"	NA	NA	recall
wwriulm6flj0u1ppisv1dzpviz9rlsjvo3gmabs2la0chxgvi	rc_np	NA	10	2	28.37837837835_77.8093883356763_127.240398293003_175.320056898979_243.669985775205_289.046941678482_349.288762446608_400.071123755284_433.28591749641_478.662873399687	"12,4,1,47,361,357,49,0,5,12"	NA	NA	recall
8e1jgz5mem9upbrlxy9w8f47vihtegsjmhcbdqojabvis4cayvi	rc_np	NA	10	2	0_77.8093883356763_150.213371265953_199.644381223279_240.967283072505_272.830725462282_300.640113798008_350.071123755334_399.50213371266_500.284495021287	"7,1,60,186,333,334,183,61,6,4"	NA	NA	recall
ioedjxabu7223enifogioogvi1m1ubrag5koyrb5rip1bsp2e29	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_228.805120910355_279.587482219032_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,26,12,12,12,12,12"	NA	NA	recall
ukmdb7h5rwhc85766e6ogvic3z6h2vapm2vj80ro78z4obt9	rc_np	NA	10	2	28.37837837835_77.8093883356763_131.294452347053_178.022759601679_243.669985775205_294.452347083882_329.018492176358_378.449502133684_425.17780938831_478.662873399687	"12,12,10,12,272,273,12,10,11,12"	NA	NA	recall
tvn2ikp2tvkgf4s21llzestt97dwi0m884wndlsfhqinqni2j4i	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_228.805120910355_279.587482219032_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,12,12,12,12,12"	NA	NA	recall
gci89bktn1tkb1etghdc59udi0u61nq44oda4s2vct10apuv7vi	rc_np	NA	10	2	28.37837837835_92.6742532005263_117.780938833553_161.806543385479_227.453769559005_259.317211948782_300.640113798008_350.071123755334_399.50213371266_466.500711237537	"12,12,73,155,243,283,243,174,65,18"	NA	NA	recall
r2lelclkl24wc2f20yamxi529zz1hzyyz7a17uhl3h0jjdcxr	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_173.968705547629_226.102418207655_268.776671408232_337.126600284458_379.800853485034_427.88051209101_478.662873399687	"12,12,12,4,324,321,7,12,12,12"	NA	NA	recall
i72giij1rj0ktovb9syrxusorfk3bcobemq50bs65blwvobt9	rc_np	NA	10	2	36.48648648645_76.4580369843263_117.780938833553_160.455192034129_200.426742532005_251.209103840682_304.694167852058_350.071123755334_407.61024182076_475.960170696987	"5,44,97,165,241,241,163,94,38,3"	NA	NA	recall
hwal4s0iflcpa6mfwjc3di5p97rnvx5s3bewyv6dj0b2o6r	rc_np	NA	10	2	49.99999999995_99.4310099572763_150.213371265953_198.293029871929_222.048364153605_294.452347083882_326.315789473658_350.071123755334_399.50213371266_469.203413940237	"14,65,141,219,304,311,209,109,40,3"	NA	NA	recall
srpk4s1vkdv13suy4k5f561or5hi4daoa2ueqnksybca4soflxr	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_228.805120910355_274.182076813632_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,435,12,12,12,12"	NA	NA	recall
ded6roi8yxuvuwsw38q90y66rpav40j98ilbu1zlucemefusor	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_190.184921763829_208.534850640105_272.830725462282_341.180654338508_370.341394025584_427.88051209101_478.662873399687	"12,12,12,52,183,433,186,33,12,12"	NA	NA	recall
5uulggsj8w9wpfp0zowkkxzuxr5qjmboz1xyccnuif3391thuxr	rc_np	NA	10	2	0_49.4310099573263_100.213371266003_198.293029871929_250.426742531955_290.398293029832_324.964438122308_354.125177809384_413.01564722616_500.284495021287	"20,64,168,435.999969482422,491,491,435.999969482422,307.999969482422,144,13"	NA	NA	recall
bt4v6qszoj1soakghbqhbyb9li9srojr232vm1xpfzq4r6bt9	rc_np	NA	10	2	28.37837837835_77.8093883356763_128.591749644353_178.022759601679_228.805120910355_279.587482219032_329.018492176358_378.449502133684_427.88051209101_478.662873399687	"12,12,12,12,12,12,12,12,12,12"	NA	NA	recall
